person_name_id,preferred,person_id,prefix,given_name,middle_name,family_name_prefix,family_name,family_name2,family_name_suffix,degree,creator,date_created,voided,voided_by,date_voided,void_reason,changed_by,date_changed,uuid

2,1,2,'Mr.','Horatio','L',NULL,'Hornblower',NULL,'Esq.',NULL,1,'2005-09-2200:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8140e0-1691-11df-97a5-7038c432aabf'

13,0,13,NULL,'Jarus','Agemba',NULL,'Rapondi',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de814b7c-1691-11df-97a5-7038c432aabf'

16,0,16,NULL,'Harison','Chumo',NULL,'Seger',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8151b7-1691-11df-97a5-7038c432aabf'

17,0,17,NULL,'Kiptogom','Klinsman',NULL,'Karayi',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8157d0-1691-11df-97a5-7038c432aabf'

18,0,18,NULL,'Kipsigisin','Kkipsang',NULL,'Thoita',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de815ddd-1691-11df-97a5-7038c432aabf'

20,0,20,NULL,'Geoffry','Ekal',NULL,'Lokai',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8163f2-1691-11df-97a5-7038c432aabf'

24,0,24,NULL,'Romana','Jebotib',NULL,'Sirtui',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8169fa-1691-11df-97a5-7038c432aabf'

28,0,28,NULL,'Mitchell','Yebei',NULL,'Cherwon',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81702d-1691-11df-97a5-7038c432aabf'

29,0,29,NULL,'Anitah','Koskei',NULL,'Chemai',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81761f-1691-11df-97a5-7038c432aabf'

33,0,33,NULL,'Constatina','Shijei',NULL,'Buigut',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de817c3d-1691-11df-97a5-7038c432aabf'

35,0,35,NULL,'Date','Khageha',NULL,'Seroney',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de818245-1691-11df-97a5-7038c432aabf'

36,0,36,NULL,'Kimetto','Akimena',NULL,'Ediati',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81a7c3-1691-11df-97a5-7038c432aabf'

39,0,39,NULL,'Aloice','Beiywa',NULL,'Mukangu',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81addc-1691-11df-97a5-7038c432aabf'

40,0,40,NULL,'Risphar','Jenai',NULL,'Makhugu',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81b3cb-1691-11df-97a5-7038c432aabf'

42,0,42,NULL,'Annastacia','Aloyo',NULL,'Chemoges',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81b9b5-1691-11df-97a5-7038c432aabf'

43,0,43,NULL,'Lorine','Mosii',NULL,'Ono',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81bfdf-1691-11df-97a5-7038c432aabf'

44,0,44,NULL,'Kassin','Opiyo',NULL,'Oure',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81c5df-1691-11df-97a5-7038c432aabf'

45,0,45,NULL,'Chepkeino','Lel',NULL,'Yebei',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81cbe3-1691-11df-97a5-7038c432aabf'

48,0,48,NULL,'Fidel','Anyango',NULL,'Amalemba',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81cf90-1691-11df-97a5-7038c432aabf'

50,0,50,NULL,'Melvine','Nyangara',NULL,'Busio',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81d33d-1691-11df-97a5-7038c432aabf'

52,0,52,NULL,'Margeret','Kaizahi',NULL,'Borisei',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81d6e1-1691-11df-97a5-7038c432aabf'

53,0,53,NULL,'Ray','Kimayo',NULL,'Chepkwai',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81dccb-1691-11df-97a5-7038c432aabf'

55,0,55,NULL,'Romano','Kosgey',NULL,'Pius',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81e074-1691-11df-97a5-7038c432aabf'

58,0,58,NULL,'Alexandia','Mukonya',NULL,'Komen',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81e41d-1691-11df-97a5-7038c432aabf'

59,0,59,NULL,'Hafila','Khayele',NULL,'Chesanai',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81e7ce-1691-11df-97a5-7038c432aabf'

60,0,60,NULL,'Sherly','Karambu',NULL,'Yapsoi',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81eb6e-1691-11df-97a5-7038c432aabf'

63,0,63,NULL,'Sharolyne','Salim',NULL,'Lenye',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81ef0e-1691-11df-97a5-7038c432aabf'

65,0,65,NULL,'Aloysius','Isiho',NULL,'Tanui',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81f29d-1691-11df-97a5-7038c432aabf'

68,0,68,NULL,'Michelle','Awor',NULL,'Nyambwegi',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81f63e-1691-11df-97a5-7038c432aabf'

69,0,69,NULL,'Lucy','Awor',NULL,'Ayega',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81f9c8-1691-11df-97a5-7038c432aabf'

71,0,71,NULL,'Sophy','Matiza',NULL,'Chebirir',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de81fd64-1691-11df-97a5-7038c432aabf'

75,0,75,NULL,'Humprey','Biwott',NULL,'Siromba',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8200f3-1691-11df-97a5-7038c432aabf'

77,0,77,NULL,'Lavin','Obunga',NULL,'Jepkirui',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de82048f-1691-11df-97a5-7038c432aabf'

78,0,78,NULL,'Thabita','Kebenei',NULL,'Nyangara',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de82081a-1691-11df-97a5-7038c432aabf'

82,0,82,NULL,'Pascalia','Sitienei',NULL,'Mego',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de820bb6-1691-11df-97a5-7038c432aabf'

83,0,83,NULL,'Charline','Mazaliza',NULL,'Kimunyugei',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de820fb4-1691-11df-97a5-7038c432aabf'

90,0,90,NULL,'Clestia','C',NULL,'Nyonyi',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de821359-1691-11df-97a5-7038c432aabf'

92,0,92,NULL,'Keiyo','Kipwachoi',NULL,'Keiyo',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8216e8-1691-11df-97a5-7038c432aabf'

95,0,95,NULL,'Ditolas','Igwenyi',NULL,'Chebose',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de821a84-1691-11df-97a5-7038c432aabf'

98,0,98,NULL,'Jackim','Kuria',NULL,'Nari',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de821e13-1691-11df-97a5-7038c432aabf'

100,0,100,NULL,'Timon','Sania',NULL,'Kirgiren',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8221af-1691-11df-97a5-7038c432aabf'

101,0,101,NULL,'Evaryline','Irumi',NULL,'Leli',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de822539-1691-11df-97a5-7038c432aabf'

105,0,105,NULL,'Dipora','Chepkenei',NULL,'Tipape',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8228d5-1691-11df-97a5-7038c432aabf'

109,0,109,NULL,'Ronago','Kiplel',NULL,'Letio',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de822c60-1691-11df-97a5-7038c432aabf'

111,0,111,NULL,'Filisters','Tergin',NULL,'Busenei',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de823000-1691-11df-97a5-7038c432aabf'

112,0,112,NULL,'Loyaban','Jebety',NULL,'Shilao',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8233a0-1691-11df-97a5-7038c432aabf'

118,0,118,NULL,'Sammuel','Isadia',NULL,'Jotham',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de82373c-1691-11df-97a5-7038c432aabf'

122,0,122,NULL,'Godrey','Moru',NULL,'Kamau',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de823ad0-1691-11df-97a5-7038c432aabf'

123,0,123,NULL,'Pacifica','Cherubet',NULL,'Osir',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de823e6c-1691-11df-97a5-7038c432aabf'

124,0,124,NULL,'Sharifa','Temko',NULL,'Aluch',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de8241f2-1691-11df-97a5-7038c432aabf'

127,0,127,NULL,'Mandago','Khikosa',NULL,'Makame',NULL,NULL,NULL,1,'2006-01-1800:00:00',0,NULL,NULL,NULL,NULL,NULL,'de82458a-1691-11df-97a5-7038c432aabf'

